Year,Name,Place,Lat,Long,Mass_KG
1973,Yamato 7306,Antarctica,-71.5,35.66666667,0.0048
1973,Yamato 7307,Antarctica,-71.5,35.66666667,0.0181
1973,Yamato 7308?**,Antarctica,-71.5,35.66666667,0.48
1973,Yamato 7309,Antarctica,-71.5,35.66666667,0.009
1973,Yamato 7310,Antarctica,-71.5,35.66666667,0.007
1973,Yamato 7311,Antarctica,-71.5,35.66666667,0.0203
1973,Yamato 7312,Antarctica,-71.5,35.66666667,0.0398
1973,Zerga?**,"Adrar, Mauritania",20.25,-12.68333333,0.076
1974,Aioun el Atrouss?**,"Hodh el Gharbi, Mauritania",16.38333333,-9.566666667,1
1974,Balsas?**,"Maranhao, Brazil",-7.516666667,-46.03333333,41
1974,Blaine Lake?**,"Saskatchewan, Canada",52.76666667,-106.8833333,1.896
1974,Brachina?**,"South Australia, Australia",-31.3,138.3833333,0.203
1974,Brownfield (c),"Texas, USA",33.13333333,-102.2666667,1.55
1974,Danebury?**,"England, UK",51.13333333,-1.533333333,0.03
1974,Enshi,"Hubei, China",30.3,109.5,8
1974,Fitzwater Pass?**,"Oregon, USA",42.03333333,-120.5833333,0.0654
1974,Forrest Lakes 002,"Western Australia, Australia",-29.58333333,128.9166667,0.052
1974,Gomez?**,"Texas, USA",33.16666667,-102.4,47
1974,Gorlovka?**,"Donetsk, Ukraine",48.28333333,38.08333333,3.62
1974,Hickiwan?**,"Arizona, USA",32.35,-112.4,1.928
1974,Jolomba?**,"Huambo, Angola",-11.85,15.83333333,0.483
1974,Maralinga?**,"South Australia, Australia",-30.3,131.2666667,3.39
1974,Mayo Belwa?**,"Adamawa, Nigeria",8.966666667,12.08333333,4.85
1974,Naragh?**,"Esfahan, Iran",33.75,51.5,2.7
1974,Orimattila?**,"Uusimaa, Finland",60.58333333,25.58333333,1.872
1974,Rabbit Flat?**,"Northern Territory, Australia",-20.36666667,130.1166667,0.295
1974,Reid 002,"Western Australia, Australia",-30.06666667,128.9666667,0.0665
1974,Reid 003,"Western Australia, Australia",-30.06666667,128.9666667,0.1287
1974,Rogers,"New Mexico, USA",34.05,-103.4,0.982
1974,Roosevelt County 086,"New Mexico, USA",34.28333333,-103.2833333,0.009
1974,Saint Augustine?**,"Illinois, USA",40.71666667,-90.41666667,22
1974,Stratford?**,"Connecticut, USA",41.2,-73.13333333,0.05
1974,Thackaringa?**,"New South Wales, Australia",-32.11666667,141.0833333,0.439
1974,Tokio (a),"Texas, USA",33.21666667,-102.6166667,6.6
1974,Tokio (b),"Texas, USA",33.2,-102.65,0.823
