year,year,month,day,hour,positive,count,context_c,weibo_c,context,weibo
2011,2011,6,23,18,0.5529155,2,,0 ,,
2011,2011,6,23,20,0.367614333,3,,0 ,,
2011,2011,6,23,22,0.577226,2,,0 ,,
2011,2011,6,24,0,0.50588225,4,,0 ,,
2011,2011,6,24,1,0.419979167,6,,0 ,,
2011,2011,6,24,10,0.844647,1,,0 ,,
2011,2011,6,24,19,0.40273,1,,0 ,,
2011,2011,6,24,20,0.161347,1,,0 ,,
2011,2011,6,24,21,0.193001048,5,,0 ,,
2011,2011,6,24,22,0.07364605,2,,0 ,,
2011,2011,6,24,23,0.777655,1,,0 ,,
2011,2011,6,25,10,0.338641,3,,0 ,,
2011,2011,6,25,13,0.751718,1,,0 ,,
2011,2011,6,25,15,0.414754,1,,0 ,,
2011,2011,6,25,17,0.777747,1,,0 ,,
2011,2011,6,26,0,0.316092,2,,0 ,,
2011,2011,6,26,4,0.2619228,2,,0 ,,
2011,2011,6,26,7,0.792883,1,,0 ,,
2011,2011,6,26,11,0.437193,1,,0 ,,
2011,2011,6,26,12,0.1487493,2,,0 ,,
2011,2011,6,26,14,0.569735,1,,0 ,,
2011,2011,6,26,17,0.0895193,2,,0 ,,
2011,2011,6,26,19,0.360709,1,,0 ,,
2011,2011,6,26,21,0.0803408,1,,0 ,,
2011,2011,6,26,23,0.572467,3,,0 ,,
2011,2011,6,27,0,0.356382,1,我有多讨厌吃饭，我就有多想你。厌食症患者说。 ,1 ,"I miss you as much as I hate eating, said someone with anorexia.",1
2011,2011,6,27,8,0.312418,1,,0 ,,
2011,2011,6,27,12,0.426633,2,,0 ,,
2011,2011,6,27,15,0.206097667,3,,0 ,,
2011,2011,6,27,16,0.5300535,2,,0 ,,
2011,2011,6,27,17,0.524027067,3,,0 ,,
2011,2011,6,27,18,0.682734,1,,0 ,,
2011,2011,6,27,22,0.629631,1,,0 ,,
2011,2011,6,27,23,0.406512333,3,,0 ,,
2011,2011,6,28,0,0.217972,1,,0 ,,
2011,2011,6,28,3,0.581704,1,,0 ,,
2011,2011,6,28,4,0.961661,1,,0 ,,
2011,2011,6,28,9,0.625825,1,,0 ,,
2011,2011,6,28,14,0.138248,1,,0 ,,
2011,2011,6,28,16,0.447497367,3,,0 ,,
2011,2011,6,28,18,0.456296067,3,,0 ,,
2011,2011,6,28,23,0.552776,2,,0 ,,
2011,2011,6,29,0,0.406675,3,,0 ,,
2011,2011,6,29,11,0.0831049,1,,0 ,,
2011,2011,6,29,12,0.269791,1,,0 ,,
2011,2011,6,29,14,0.0346673,1,,0 ,,
2011,2011,6,29,15,0.5834105,2,,0 ,,
2011,2011,6,29,20,0.21356,2,,0 ,,
2011,2011,6,29,21,0.083321,1,,0 ,,
2011,2011,6,30,11,0.0273648,1,,0 ,,
2011,2011,6,30,20,0.398706,3,在你的记忆中哪一天最恐怖一想到就痛苦不堪？   #明天# ,1 ,Which day in your memories is too horrible to think about? #tomorrow#,1
2011,2011,6,30,22,0.435631667,3,,0 ,,
2011,2011,6,30,23,0.769343,1,,0 ,,
2011,2011,7,1,12,0.269037967,3,,0 ,,
2011,2011,7,1,17,0.429229,1,,0 ,,
2011,2011,7,1,19,0.364255,1,,0 ,,
2011,2011,7,1,20,0.453821,1,,0 ,,
2011,2011,7,2,1,0.673699,1,,0 ,,
2011,2011,7,2,5,0.431293,1,,0 ,,
2011,2011,7,2,10,0.558991,3,,0 ,,
2011,2011,7,2,12,0.385276,1,,0 ,,
2011,2011,7,2,13,0.744511,1,,0 ,,
2011,2011,7,2,16,0.47,1,,0 ,,
2011,2011,7,2,17,0.488989,4,,0 ,,
2011,2011,7,3,0,0.11395,1,,0 ,,
2011,2011,7,3,1,0.724735,1,,0 ,,
2011,2011,7,3,9,0.234341,1,,0 ,,
2011,2011,7,3,11,0.0474895,1,,0 ,,
2011,2011,7,3,15,0.095636767,3,,0 ,,
2011,2011,7,3,17,0.160894,1,,0 ,,
2011,2011,7,3,20,0.440427,1,,0 ,,
2011,2011,7,3,22,0.2909,1,,0 ,,
2011,2011,7,3,23,0.488613,1,,0 ,,
